English Name,Amount,English Unit,,Calories,Fats,Carbs,Protein,Arabic Name,Arabic Unit,Vit A (µg),Vit C (mg),Vit D (µg),Vit K (µg),Folate (µg),Vit B12 (µg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Zinc (mg),Selenium (µg),,FoodGroup,SubGroup
Hardee’s Super Star,100,grams ,,790,53,41,40,   هارديز سوبر ستار,جرام ,200,10,0.8,25,60,2,300,5,60,600,5,50,,Packaged & Mixed Foods,Fatty Protein
Hardee’s Oreo Milk Shake,100,grams ,,700,33,86,14,   هارديز أوريو ميلك شيك,جرام ,250,-,1,5,20,1,500,1,50,600,1.5,15,,Packaged & Mixed Foods,Candy-like Snack
Macdonald’s Mcflory,100,grams ,,510,17,60,12,   ماكدونالدز ماك فلوري,جرام ,200,1,0.8,4,15,0.8,450,0.5,40,550,1.2,12,,Packaged & Mixed Foods,Candy-like Snack
Halwani Bros Hamburger,100,grams ,,167.3,8.5,9.7,13,   حلواني اخوان هامبورجر,جرام ,2,-,0.1,1,3,2,6,2.5,18,250,5,28,,Protein,Fatty Protein
President Low Fat Cheddar Cheese,100,grams ,,181.9,9.1,8,17,   بريزيدن جبنة شيدر قليل الدسم,جرام ,150,-,0.3,1.5,15,1.2,800,0.5,30,120,3.5,15,,Protein,Lean Protein
Frico light gouda cheese,100,grams ,,240,12,0,33,   جبنة فريكو جودة قليلة الدسم,جرام ,150,-,-,20,15,1.5,900,0.3,40,120,4,20,,Protein,Lean Protein
President extra light 0.9% fat,100,grams ,,117,0.9,6.6,20.5,   جبنة بريزيدن إكسترا لايت,جرام ,100,-,-,1,12,1,850,0.5,30,150,3.2,15,,Protein,Lean Protein
Philadephia Cheese Spread Light,100,grams ,,128,8.8,5,6.6,   لاديا جبنة لابت,جرام ,180,-,-,2.9,13,0.2,90,0.4,10,130,0.5,3,,Protein,Lean Protein
President White Lite Cheese,100,grams ,,131,7,5,12,   بريزيدن جبنة بيضاء لايت,جرام ,120,-,-,1.5,25,0.3,420,0.3,15,110,1.1,12,,Protein,Lean Protein
Halwani Bros Minced Meat,100,grams ,,107.5,13.5,0,17,   حلواني اخوان لحم مفروم,جرام ,3,-,0.1,1.1,6,2.7,9,3.2,23,310,7,36,,Protein,Fatty Protein
The Three Cows Shredded mozarrella cheese,100,grams ,,300,0.8,25,22,   جبنة البقرات الثلاث موتزاريللا مبشورة,جرام ,180,-,-,2,7,0.8,600,0.4,20,100,2.5,15,,Protein,Balanced Protein-Carb
Al monaiem Sliced Coopoliva,100,grams ,,645,65,0,4,   كوبوليڤا شرائح زيتون المنجم,جرام ,20,0.9,-,1.4,-,-,88,3.3,4,8,0.22,0.9,,Sauces & Condiments,Low-Cal
Qody Fava Beans,100,grams ,,72,0.4,11.8,5.5,   قودي فول مدمس سادة,جرام ,1,1,-,3,150,-,45,2.2,65,310,0.9,1,,Carbs,High-Carb
Al Kabeer Felafel,100,grams ,,72.7,1.3,10,3.3,   فلافل سادة قبل القلي ( الكبير ),جرام ,10,5,-,20,150,-,80,5,100,700,2,5,,Packaged & Mixed Foods,High-Carb
Philadelphia Freekeh,100,grams ,,59,0.2,13,1.4,   فريكة أبو خلدون خشنة,جرام ,-,-,-,-,18,-,10,0.96,32,68,0.5,0.5,,Carbs,High-Fiber
Basak Broccoli cream soup,100,grams ,,19.6,0.32,3.6,0.52,   شوربة باشاك بروكلي بالكريم,جرام ,10,10,-,10,10,-,5,0.1,2,30,0.05,0.2,,Packaged & Mixed Foods,Low-Cal
Basak Mushroom cream soup,100,grams ,,81.7,1.2,15,2.2,   فطرباشاك بالكريمة,جرام ,-,-,-,-,5,-,2,0.2,5,150,0.2,4,,Packaged & Mixed Foods,Low-Cal
Basak Star noodle vegatable soop,100,grams ,,22.4,0.2,4.48,0.56,   شوربة النجوم بالخضار باشاك,جرام ,20,2,-,-,5,-,5,0.2,5,50,0.1,0.5,,Packaged & Mixed Foods,Low-Cal
Quaker Vegetables Cumin and Oats Soup,100,grams ,,51.6,1.84,6.5,1.84,   شوربة كويكر خضروات كمون شوفان,جرام ,20,2,-,-,5,-,10,0.5,10,100,0.2,1,,Packaged & Mixed Foods,Low-Cal
cheddar cheese Low fat Almarai,100,grams ,,257,19,2,19,   جبنة شيدر قليلة الدسم – المراعي,جرام ,180,-,0.3,1.8,14,1.1,700,0.4,28,140,3,14,,Protein,Lean Protein
Lulu tortilla,100,grams ,,307,5.35,55,9,   لولو تورتيلا,جرام ,-,-,-,-,50,-,200,2.5,40,180,1,25,,Carbs,High-Carb
Milk Low fat almarai,100,grams ,,43.6,2,4.9,3.4,   الحليب قليل الدسم المراعي,جرام ,56,-,1.3,0.1,5,0.5,120,0.05,11,146,0.4,3.1,,Protein,Lean Protein
Nestle fitness Cereals made with whole grain,100,grams ,,367,1.7,74.8,9.67,   نستلة فتنس رقائق مصنوعة من الحبوب الكاملة,جرام ,200,30,2.5,-,200,1.25,500,7,100,400,5,20,,Carbs,High-Fiber
Yogurt Low fat almarai,100,grams ,,80,2,5.5,4.5,   الزبادي قليل الدسم المراعي,جرام ,14,0.9,-,0.1,5,0.37,121,0.05,12,155,0.59,2.2,,Protein,Lean Protein
Lulu Chapatti,100,grams ,,289.55,4.25,48.75,13.89,   لولو تشاباتي,جرام ,-,-,-,-,20,-,30,2.5,50,150,1.5,20,,Carbs,High-Carb
Iko oat bran sugar free,100,grams ,,510,13,67,8,   شوفان قليل السكر,جرام ,-,-,-,-,30,-,50,4,130,350,3.5,25,,Carbs,High-Carb
almethaly flour,100,grams ,,273,2,52,11,   طحين المثالي,جرام ,-,-,-,-,40,-,30,3.5,130,350,2.5,60,,Carbs,High-Carb
All bran flakes Kelloggs,100,grams ,,359,3.2,63,12,   رقائق من نخالة القمح الطبيعي شركة كيلوقس,جرام ,200,30,2.5,-,200,1.25,500,7,100,400,5,20,,Carbs,High-Carb
Alwafra Greek Yogurt,100,grams ,,116,5.5,6.61,10.2,   الوفرة روب يوناني,جرام ,27,0.5,-,0.1,7,0.37,121,0.05,12,155,0.59,2.2,,Protein,Fatty Protein
Mafrood bread almethaly,100,grams ,,275,1,56,10,   خبز مفرود شركة المثالي,جرام ,-,-,-,-,120,-,80,3,40,200,1.5,25,,Carbs,High-Carb
Toast almethaly,100,grams ,,273,2,52,11,   شرائح خبز توست شركة المثالي,جرام ,-,-,-,1.9,28,-,260,2.7,82,266,1.9,37.9,,Carbs,High-Carb
Almarai up Salted milk syrup,100,grams ,,34.6,1.1,3.6,2.4,   المراعي اب شراب حليب مملح,جرام ,30,1,-,0.2,4,0.3,100,0.02,8,120,0.3,3,,Packaged & Mixed Foods,Low-Cal
Lite Yogurt Activia,100,grams ,,49,1,5.3,4.6,   زبادي لايت أكتيا,جرام ,14,0.9,-,0.1,5,0.37,121,0.05,12,155,0.59,2.2,,Protein,Lean Protein
White toast bread square tazaj,100,grams ,,256,2.5,45,13,   خبز توست ابيض مربع طازج,جرام ,-,-,-,0.1,106,-,260,2.8,32,134,1.1,26.3,,Carbs,High-Carb
Galaxy chocolate Smooth dark,100,grams ,,520,33,59.1,5.7,   شوكولاتة غامقة وناعمه جالكسي,جرام ,40,-,-,7,15,-,70,10,200,700,1.8,6,,Packaged & Mixed Foods,Candy-like Snack
Granola dark chocolate and red berries love crunch,100,grams ,,470,19,65,6.5,   جرانولا شوكولاتة وتوت احمر لوف كرانش,جرام ,-,1,-,-,25,-,40,3.5,110,300,2.2,9,,Packaged & Mixed Foods,High-Carb
Um Khalid mixing omani shuwa mix,100,grams ,,159,1.9,36,1.51,   مخلط الشواء العماني ام خالد,جرام ,0,0,0,0,0,0,0,0,0,0,0,0,,Sauces & Condiments,Low-Cal
Life Protein Icecream,100,grams ,,153,1.923,15.38,13.07,   بروتين آيس كريم لايف,جرام ,100,0.5,1,0.1,4,0.4,128,0.1,10,199,0.4,2.2,,Protein,Lean Protein
Marai mozarella low fat,100,grams ,,235,15,0,25,   جبنة موزريلا المراعي قليلة الدسم,جرام ,180,-,-,2,7,0.8,600,0.4,20,100,2.5,15,,Protein,Lean Protein
Papaya,100,grams ,,43,0,11,1,   فاكهة البابايا,جرام ,47,60.9,-,2.6,37,-,20,0.25,21,182,0.08,0.6,,Fruit,Low-Carb
Puck Bechamel Sauce with cheese,100,grams ,,175,14,7,5,   صوص البشاميل مع الجبن بوك,جرام ,100,0.5,1,1,5,0.2,150,0.2,10,120,0.3,2,,Sauces & Condiments,Low-Cal
Craft Cheddar,100,grams ,,320,27,0,20,   جبن كرافت شدر,جرام ,263,-,0.6,2.1,18,0.8,721,0.68,28,98,3.1,14.5,,Protein,Fatty Protein
Almarai Vital Stirred Yogurt Mango and Peach,100,grams ,,100,1.1,19.1,3,   المراعي تال زبادي مانجو و خوخ,جرام ,15,2,-,0.1,6,0.5,120,0.1,10,150,0.6,2,,Protein,Lean Protein
Pride Cheese Extra Light,100,grams ,,117,1,6.6,20.5,   جبنة برايد أكسترا لايت,جرام ,100,-,-,1,12,1,850,0.5,30,150,3.2,15,,Protein,Lean Protein
Pride Cheese Extra Light,100,grams ,,117,1,6.6,20.5,   جبنة برايد أكسترا لايت,جرام ,100,-,-,1,12,1,850,0.5,30,150,3.2,15,,Protein,Lean Protein
Mcvities Digestive – Dark Chocolate Biscuits,100,grams ,,495,24,61,6,   ماكتيز دايجستف – بسكوت مع شكولاته داكنة,جرام ,40,-,-,7,15,-,70,10,200,700,1.8,6,,Carbs,Candy-like Snack
Maxim protein bar,100,Gram,,368,12.4,24,40,ماكسيم بروتين بار,جرام,,,,,,,,,,,,,,Protein,Balanced Protein-Carb
Maltesers,100,grams ,,500,24.3,61.5,8.3,   المالتيزرز,جرام ,50,-,-,1,15,0.5,200,0.8,30,300,1,10,,Packaged & Mixed Foods,Candy-like Snack
Americana Beef Burgers,100,grams ,,196,13.4,2,15.7,   امريكانا برجر جامبو بقري,جرام ,2,-,0.1,1,3,2,6,2.5,18,250,5,28,,Packaged & Mixed Foods,Balanced Protein-Carb
pofak kuwait,100,grams ,,530,32,58,7.17,   بفك الكويت,جرام ,0,0,0,0,0,0,0,0,0,0,0,0,,Packaged & Mixed Foods,Candy-like Snack
Protein bar Barebells caramel &cashew,100,grams ,,361,15,26,36,   باربلز بروتين كراميل وكاجو,جرام ,150,30,2.5,20,200,2.5,600,5,100,400,5,30,,Packaged & Mixed Foods,Balanced Protein-Carb
Chechil cheese,100,grams ,,322,24,1.6,25,   جبن جيجيل,جرام ,200,-,0.5,2,15,1.5,750,0.5,30,100,3,15,,Protein,Fatty Protein
Luisine cream cheese sandwich,100,grams ,,303,13,36,9.7,   لوزين تصبيرة ساندوتش جبن كريمي,جرام ,180,-,-,2.9,13,0.2,90,0.4,10,130,0.5,3,,Protein,Fatty Protein
Greek yogurt blueberry,100,grams ,,94,2,14,5,   زبادي يوناني توت ازرق شركة ندي,جرام ,25,2,-,0.2,10,0.3,100,0.1,10,140,0.5,2,,Protein,Lean Protein
Almarai Yogurt strawberries,100,grams ,,105,3,15.5,4,   المراعي زبادي فراوله,جرام ,25,2,-,0.2,10,0.3,100,0.1,10,140,0.5,2,,Protein,Lean Protein
Jelly Cranberry Greens,100,grams ,,61,0.4,13.7,1.79,   جيلي توت شركه جرينز,جرام ,-,20,-,5,1,-,5,0.3,5,40,0.1,0.5,,Packaged & Mixed Foods,Candy-like Snack
Luna Red kidney beans,100,grams ,,149,0.2,20,9.8,   لونا فاصوليا حمراء معلبة,جرام ,-,-,-,-,130,-,45,2.5,42,350,0.8,-,,Carbs,High-Carb
Cooked Mackerel,100,grams ,,222,13.8,0.4,22.5,   سمك ماكريل مطبوخ,جرام ,40,1,15.3,7.8,1,8.7,15,1.6,76,314,0.6,44.1,,Protein,Fatty Protein
skimmed milk Almarai,100,grams ,,33.8,0.1,5,3.2,   حليب خالي الدسم المراعي,جرام ,58,-,1.3,0.1,5,0.5,123,0.03,11,157,0.4,3.2,,Protein,Lean Protein
Cream Light Almarai,100,grams ,,166,15,4.4,3.3,   قشطه لايت المراعي,جرام ,180,0.5,0.6,1.5,2,0.1,70,0.04,6,100,0.15,0.8,,Protein,Fatty Protein
Bechamel sauce with cheese Puck,100,grams ,,117,0.9,6.6,20.5,   صوص البشاميل مع الجبن شركه بوك,جرام ,100,0.5,1,1,5,0.2,150,0.2,10,120,0.3,2,,Sauces & Condiments,Lean Protein
cheese spread light Philadelphia,100,grams ,,128,8.8,5,6.6,   جبن سائل لايت لادلا,جرام ,180,-,-,2.9,13,0.2,90,0.4,10,130,0.5,3,,Protein,Fatty Protein
Smoked Salmon Slices,100,Gram,,177,10,0.8,19,سلمون مدخن شرايح,جرام,20,1.5,10.8,0.4,20,3.5,11,0.5,22,320,0.3,32.1,,Protein,Fatty Protein
Tang orange,100,grams ,,358,0.1,68,1.4,   تانج برتقال,جرام ,-,200,-,-,-,-,200,-,-,-,-,-,,Packaged & Mixed Foods,Candy-like Snack
Cheese Slices fat free almarai,100,grams ,,569,1.5,9,21,   شرائح الجبن خالية الدسم المراعي,جرام ,120,-,0.2,1,12,1,850,0.5,30,150,3.2,15,,Protein,Lean Protein
Beef sheesh kebab freshly foods,100,grams ,,176,5,25,23,   شيش كباب لحم بقري فرشلي فود,جرام ,3,-,0.1,1.1,6,2.7,9,3.2,23,310,7,36,,Packaged & Mixed Foods,Balanced Protein-Carb
Goody Peanut butter low fat,100,grams ,,450,37,32,24.5,   زبده فول سوداني قليله الدهون جودي,جرام ,-,-,-,0.1,65,-,40,1.5,150,500,2.5,4,,Fats & Oils,Healthy Fat
Impact Whey Isolate Myprotein,100,grams ,,373,0.3,2.5,90,   واي بروتين ايزوليت ماي بروتين,جرام ,10,-,-,-,5,0.2,120,0.3,25,160,0.5,9,,Protein,Lean Protein
Super Mass Gainer Dymatize,100,grams ,,381,2.97,72,15.47,   سوبر ماس جينر ديماتيز,جرام ,237,30,2.5,2.5,200,0.5,295,4,210,735,0.75,35,,Packaged & Mixed Foods,High-Carb
Cooking cream light almarai,100,grams ,,134,12,5.8,2.6,   كريمة الطبخ لايت المراعي,جرام ,180,0.5,0.6,1.5,2,0.1,70,0.04,6,100,0.15,0.8,,Protein,Fatty Protein
Tuna salad mayonnaise fisherman,100,grams ,,158,11,5.6,7.7,   سلطه تونه بالمايونيز شركه شر مان,جرام ,20,2,1,0.2,5,1.5,20,0.8,25,200,0.8,60,,Packaged & Mixed Foods,Fatty Protein
Tanour healthy bread with black seeds,100,grams ,,400,0,70,10,   خبز تنور بحبه البركه صحي,جرام ,-,-,-,-,120,-,80,3,40,200,1.5,25,,Protein,High-Carb
Doline Posni,100,grams ,,73.5,1.5,3,12,   جبن دولين قليل الدسم عالي البروتين,جرام ,0,0,0,0,0,0,0,0,0,0,0,0,,Protein,Lean Protein
Classic White Cheese,100,grams ,,268,21,0.7,19,   جبن ابيض كلاسيك,جرام ,200,-,0.5,2,20,1.5,700,0.5,30,130,3,15,,Protein,Lean Protein
Bio Primo Superfood Lupinen Protein Pulver,100,grams ,,374,12,10,43,   بروتين نباتي بيو بريمو,جرام ,0,0,0,0,0,0,0,0,0,0,0,0,,Protein,Lean Protein
Multipower 100% pure whey,100,grams ,,379,4.7,4.3,78,   واي بروتين مالتي باور الماني,جرام ,10,-,-,-,5,0.2,120,0.3,25,160,0.5,9,,Protein,Lean Protein
NOW Pea Protein,100,grams ,,400,7.5,5,75,   بروتين البازلاء من شركة ناو,جرام ,-,-,-,-,-,-,100,25,100,-,5,-,,Protein,Lean Protein
Raw shelled shrimp,100,grams ,,144,2.35,1.24,27.5,   جمبري نئ مقشر,جرام ,15,-,-,0.2,4,1.66,70,0.5,39,259,1.6,39.7,,Protein,Lean Protein
Sports Factory Protein Shake 90,100,grams ,,350,0.9,4.2,80,سبورتس فاكتوري بروتين شيك 90,جرام ,0,0,0,0,0,0,0,0,0,0,0,0,,Protein,Lean Protein
Merluccius Fish frozen,100,grams ,,89,2.8,0,16,   سمك النازل البحري مجمد,جرام ,50,1,2,0.1,15,1,40,0.5,30,300,0.5,35,,Protein,Lean Protein
 Raw potato ,100,grams ,,77,1,17,2,بطاطس قبل التسويه ,جرام ,0,19.7,0,1.9,18,0,12,0.8,23,421,0.3,0.4,,Carbs,Low-Carb
mint ,100,grams ,,44,0.7,8.4,3,نعناع,جرام ,202,31.8,0,392.4,114,0,243,5.1,80,458,1.1,1.8,,Veg,Low-Cal
zaatar,100,grams ,,101,1,11,6,زعتر ,جرام ,238,160.1,0,1714.5,45,0,405,17.5,160,609,1.8,4.6,,Veg,Low-Cal
pepper clolors,100,grams,,34,0.3,7,1,فلفل الوان ,جرام ,157,127.7,0,4.9,10,0,7,0.4,12,211,0.3,0.1,,Veg,Low-Carb
RAW CHICKPEAS,100,grams,,378,6,63,20,حمص ني ,جرام ,0,4.4,0,9.4,557,0,124,"6,2",166,875,3.4,8.2,,Carbs,High-Carb
Greek Yogurt Full cream,100,gm,,106,3,12.29,7.33,زبادي يوناني كامل الدسم (جهينة),جرام ,25,2,-,0.2,10,0.3,100,0.1,10,140,0.5,2,,Protein,Fatty Protein
Boiled hummos,100,gm,,164,2.6,27.4,8.9,حمص مطهي,جرام ,1,1.3,0,4,172,0,49,2.9,48,291,1.5,3.7,,Carbs,High-Carb
Cashew Butter,100,Gram,,597,49.9,29.7,17.5,زبدة الكاجو,جرام ,0,0.5,0,8.8,69,0,44,6,258,565,5.6,18.9,,Fats & Oils,Healthy Fat
White Chocolate,100,Gram,,539,32.1,59.2,5.9,شوكولاتة بيضاء,جرام ,9,0.5,0,9.1,7,0.56,199,0.24,12,286,0.74,4.5,,Packaged & Mixed Foods,Candy-like Snack
Ginger,100,Gram,,80,0.8,17.8,1.8,زنجبيل,جرام ,0,5,0,0.1,11,0,16,0.6,43,415,0.34,0.7,,Veg,Low-Cal
Lemon Juice,100,Gram,,29,0.2,9.3,1.1,عصير ليمون,جرام ,1,38.7,0,0,20,0,6,0.6,8,103,0.06,0.1,,Sauces & Condiments,Low-Cal
Tang peach ,100,grams ,,358,0.1,68,1.4,   تانج خوخ,جرام ,-,200,-,-,-,-,200,-,-,-,-,-,,Packaged & Mixed Foods,Candy-like Snack
 macaroni Shareya (RAW),100,grams,,371,2,75,13,   مكرونة شعرية ناشفة نيئة,جرام ,-,-,-,0.1,20,-,24,1.2,53,124,1.4,67,,Carbs,Low-Carb
Lean Beef,100,Gram,,125,4.5,0,21.7,لحم أحمر (قليل الدهن),جرام ,0,0,0,0,5,2.6,6,2.7,20,334,4.8,24,,Protein,Lean Protein
Fresh Tomato Sauce,100,Gram,,32,0.2,7,1.4,صلصة طماطم طازجة,جرام ,42,21.7,0,9.4,15,0,12,0.6,17,342,0.2,0.4,,Sauces & Condiments,Low-Cal
Raw Beef Liver,100,Gram,,135,3.6,3.9,20.4,كبد بقري (نية),جرام ,8360,1.3,1.2,0.3,253,59,5,4.9,18,291,4,39.7,,Protein,Lean Protein
Light Cream Cheese,100,Gram,,208,15.3,8.1,7.8,جبنة كريمي لايت,جرام ,161,0,11,1.1,19,0.9,148,0.2,8,247,0.6,4,,Protein,Fatty Protein
Raw Minced Chicken Breast,100,Gram,,110,1.4,0,23,صدور دجاج مفرومة (نيئة),جرام ,0,0,0,0,4,0.28,11,0.4,26,256,0.8,24.5,,Protein,Lean Protein
Low-fat Milk,100,Gram,,42,1,5,3.4,حليب قليل الدسم,جرام ,15,1.2,1.2,0.1,5,0.45,125,0,10,150,0.4,1.5,,Protein,Lean Protein
Raw Chicken Liver,100,Gram,,119,4.8,1.1,16.9,كبدة دجاج (نية),جرام ,3293,23.5,0.6,0.3,588,16.6,10,8.5,20,247,2.7,54.6,,Protein,Lean Protein
Grilled Chicken Breast,100,Gram,,165,3.6,0,31,صدر دجاج مشوي,جرام ,0,0,0,0,4,0.3,11,0.5,29,256,0.9,28,,Protein,Lean Protein
Chocolate Chips,100,Gram,,486,26.5,68,4.7,تشوكليت شيبس,جرام ,3,0,0,1.9,10,0.07,46,4.44,88,236,0.98,1.2,,Packaged & Mixed Foods,Candy-like Snack
Demi-Glace Sauce,100,Gram,,70,3,2,8,صوص ديمي جلاس,جرام ,0,0,0,0,0,0.2,10,0.6,5,100,0.4,2,,Sauces & Condiments,Low-Cal
Raw Mullet Fish,100,Gram,,117,4.5,0,18,سمك بوري (ني),جرام ,20,0,1.4,0.1,6,2.3,27,0.6,31,310,0.9,36.5,,Protein,Lean Protein
Organic Nation Guilt Free Ketchup,100,Gram,,26,0.07,5,1.4,كاتشب أورجانيك نيشن جيلت فري,جرام ,,,,,,,,,,,,,,Sauces & Condiments,Low-Cal
Lebanese Bread (White),100,Gram,,266,1,54,9,خبز لبناني (أبيض),جرام ,0,0,0,0.1,126,0,27,2.3,25,114,0.9,13.7,,Carbs,High-Carb
Sliced Pickled Cucumbers,100,Gram,,11,0.2,2.5,0.5,مخلل خيار شرائح,جرام ,2,1.4,0,25,3,0,19,0.3,10,59,0.1,0.1,,Sauces & Condiments,Low-Cal
Sesame Burger Bun,100,Gram,,280,4.7,50,9.3,خبز برجر بالسمسم,جرام ,0,0,0,0.2,100,0,160,3.4,32,125,0.9,19,,Carbs,High-Carb
White Vinegar,100,Gram,,18,0,0.1,0,خل أبيض,جرام ,0,0,0,0,0,0,7,0.2,5,8,0.1,0,,Sauces & Condiments,Low-Cal
"Raw, Skinless Chicken Thighs",100,Gram,,135,7,0,18,أوراك دجاج بدون جلد (نيئة),جرام ,0,0,0,0,4,0.3,14,1.2,24,260,2.1,24,,Protein,Fatty Protein
Raw Chicken Liver and Gizzards,100,Gram,,135,3.7,0.6,23.6,كبد وقوانص دجاج (نيئة),جرام ,1647,11.8,0.3,0.2,296,10.6,12,5.65,23,251.5,2.85,42.8,,Protein,Lean Protein
Raw Veal,100,Gram,,130,4.1,0,21.7,لحم بتلو (ني),جرام ,0,0,0,0,5,1.4,16,2.1,20,324,3.6,13.5,,Protein,Lean Protein
Raw Calamari,100,Gram,,92,1.4,3.1,15.6,كاليماري (ني),جرام ,5,4.7,0,0.1,5,1.1,32,0.9,33,287,1.4,44.8,,Protein,Lean Protein
Raw Fish Fillet,100,Gram,,85,0.6,0,18.5,سمك فيليه (ني),جرام ,11,0,1.4,0.1,12,1.8,16,0.4,22,287,0.4,36,,Protein,Fatty Protein
Raw Chicken Drumsticks,100,Gram,,165,10,0,18.2,دبابيس دجاج (نية),جرام ,0,0,0,0,3,0.3,12,0.9,19,216,1.3,24,,Protein,Fatty Protein
Pizza Sauce,100,Gram,,35,1,6,1.4,صوص بيتزا,جرام ,25,10,0,6,10,0,12,0.6,15,200,0.2,0.4,,Sauces & Condiments,Low-Cal
Baking Powder,100,Gram,,53,0,27.7,0,بيكنج بودر,جرام,0,0,0,0,0,0,3397,3.6,8,2,0.2,0.2,,Sauces & Condiments,Low-Cal
Raw Knafeh Dough,100,Gram,,330,2,70,9,كنافة (نيئة),جرام ,0,0,0,0,100,0,14,1.4,20,120,0.8,24,,Carbs,High-Carb
Raw Popcorn Kernels,100,Gram,,387,4.7,78,13,ذرة فشار (نية ),جرام ,10,0,0,0.7,27,0,14,2.7,127,363,2.9,8.8,,Carbs,High-Carb
Hazelnut Butter,100,Gram,,628,61,17,15,زبدة بندق,جرام ,0,0,0,14.2,113,0,114,4.7,163,680,2.4,2.4,,Protein,Healthy Fat
Kiri Light Cheese,100,Gram,,162,12.5,5.5,7,جبنة كيري لايت,جرام ,120,0,0.5,2.1,10,0.4,200,0.3,10,130,0.7,3,,Protein,Fatty Protein
Soy Sauce,100,Gram,,53,0.6,5.5,8.1,صويا صوص,جرام ,0,0,0,0,19,0.1,33,1.5,55,128,0.4,2.1,,Carbs,High-Carb
Samosa Dough,100,Gram,,350,10,58,8,عجينة سمبوسة,جرام ,0,0,0,0,100,0,20,1.4,20,100,0.6,15,,Carbs,High-Carb
Grilled Salmon,100,Gram,,252,16.5,0,26.5,سلمون مستوي جريلد,جرام,15,4.9,13.9,0.6,32,4.1,11,0.4,34,462,0.5,46.4,,Protein,Fatty Protein
Freekeh,100,Gram,,350,2.3,72,13,فريك,جرام,0,0,0,0,38,0,27,2.6,128,423,2.4,13.7,,Protein,
Raw Bulgur,100,Gram,,342,1.3,76,12.3,برغل قبل الطهي ,جرام,0,0,0,0.1,27,0,35,2.5,164,410,1.9,12.1,,Protein,
deli sun  pizza bases,100,Gram,,315,8.5,53,8,ديلي صن قواعد البيتزا,جرام,0,0,0,0,0,0,0,0,0,0,0,0,,Protein,
Low-fat sausage (raw),100,Gram,,198,13.3,1.1,18,سجق قليل الدهن (قبل الطهي),جرام,12,0,0.6,0,3,0.7,25,1.2,18,280,2.1,22.5,,Protein,
Raw Lean Minced Meat,100,Gram,,136,5,0,21.5,لحمة مفرومة (قليلة الدهن - نية),جرام,2,0,0.1,1.2,7,2.4,10,2.5,21,314,5.2,20.4,,Protein,
Water,100,ml,,0,0,0,0,ماء,مل,0,0,0,0,0,0,0,0,0,0,0,,,Protein,
